"Компания","Телефон","Сайт","Категория","Score"
"LIQUI MOLY Eurasia 1","+7 701 528 2320","http://www.liquimoly.kz/","Замена масла","60"
"Живой уголок","+7 747 555 0002","","Зоомагазин","60"
"Рахат","+7 7272 58 47 10 ext. 590","https://www.rakhat.kz/","Кондитерский магазин","60"
"ЛОТТЕ Рахат магазин","+7 7272 58 47 10 ext. 590","https://www.rakhat.kz/","Кондитерский магазин","60"
"YAPOSHA SUSHI & PIZZA","+7 778 312 8400","http://yaposha-sushi.kz/","Доставка готовой еды","45"
"DELTA CHIP","+7 707 261 0303","https://deltachip.kz/","Магазин электроники","45"
"Zoomarket","+7 727 392 6207","http://www.zoomarket.kz/","Зоомагазин","45"
"Компания Ас-Ай","+7 775 007 0934","http://asay.kz/","Продажа грузовых автомобилей","45"
"Obuv_vnalichii","+7 747 194 0535","http://instagram.com/obuv_vnalichii","Обувной магазин","45"
"Магазин автозапчастей на Тойота и Лексус - LETO","+7 707 310 0013","http://www.leto.kz/","Магазин автозапчастей","45"
"ZooMarket","+7 727 375 6290","http://zoomarket.kz/","Зоомагазин","45"
"Velik.kz магазин ведосипедов, прокат велосипедов, сервис","+7 707 296 0777","http://velik.kz/","Веломагазин","45"
"Гипермаркет шин ecar.kz","+7 727 313 1633","https://ecar.kz/","Магазин шин","45"
"Центр Спортивного Питания","+7 727 317 3080","http://www.sportcenter.kz/","Магазин витаминов и пищевых добавок","45"
"Шинный центр UNITYRE (Юнитайр)","+7 7272 41 19 86","https://www.unityre.kz/","Магазин шин и дисков","45"
"Du-Re mart, korean products","+7 771 852 6914","https://www.instagram.com/dure_mart.kz/?hl=en","Продовольственный магазин","45"
"Whoopie cakes","+7 705 225 5833","http://whoopiecafe.kz/almaty","Кафе-кондитерская","45"
"Fashion Avenue","+7 777 035 7075","https://mssg.me/forusgroup","Торговый центр","45"
"""Shar Land"" Студия праздника","+7 747 270 0027","https://www.shar-land.kz/","Магазин воздушных шаров","45"
"AutoBoom","+7 776 750 0151","https://forcar.kz/","Магазин автоаксессуаров","45"
"Ветеринарная Аптека ТОО "" NurTradeCompany ""","+7 775 597 4287","https://too-nurtradecompany.satu.kz/","Ветеринарная аптека","45"
"Ceramo Stone Group Ауэзова 2В","+7 701 643 7419","http://ceramostone.kz/","Строительный магазин","45"
"iTell","+7 727 339 2123","","Магазин электроники","45"
"DiamondPet","+7 7272 79 48 45","https://dpet.kz/","Зоомагазин","45"
"Любимцы","+7 707 101 6949","http://lubimci.kz/","Зоомагазин","45"
"СТМС-С.К. ТОО","+7 701 808 2323","http://stmsgroup.kz/","Офис компании","45"
"AplTech.kz (Интернет магазин компьютерной техники)","+7 702 008 0048","https://www.apltech.kz/","Интернет-магазин","45"
"Оптовый Склад","+7 777 021 0404","","Торговый центр","45"
"Almaflowers - Доставка цветов Алматы | Цветы в Алматы | Пионы в Алматы | Букеты | Подарки","+7 777 096 2222","https://almaflowers.kz/","Доставка цветов","45"
"TOO OTR GROUP - продажа запчастей для спецтехники","+7 701 433 9236","https://otr-group.kz/","Магазин автозапчастей","45"
"ТОО Bugel","+7 705 333 0330","https://bugel.kz/","Поставщик крепёжных изделий","45"
"Ленуца","+7 7272 42 75 43","","Продовольственный магазин","45"
"Al-Style","+7 727 300 0300","https://al-style.kz/","Оптовая торговля","45"
"Строительный Рынок","+7 707 328 0155","","Строительный рынок","45"
"Nurmax (Нурмакс)","+7 7272 20 77 47","http://nurmaxkz.kz/","Магазин строительных товаров","45"
"Green Garden","+7 702 338 8837","https://greengarden-almata.kz/","Магазин товаров для дачи и сада","45"
"A-MARKA (А-МАРКА)","+7 702 762 0915","http://www.amarka.kz/","Магазин необработанной мебели","45"
"Volna","+7 775 007 0795","https://www.volna.kz/","Пивной магазин","45"
"Obuv_vnalichii_2","+7 778 667 2577","","Обувной магазин","45"
"Магазин автозапчастей LETO","+7 700 426 2528","http://www.leto.kz/","Магазин автозапчастей","45"
"UTI-PUTI","+7 707 584 9803","https://uti-puti.kz/","Магазин детской одежды","45"
"Торговая компания «AISULU»Сеть магазинов оборудования и косметики для салонов красоты","+7 7272 25 59 76","http://aisulu.kz/","Магазин товаров для парикмахерских","45"
"Магазин подарков Red Box","+7 701 728 8333","http://red-box.kz/","Магазин подарков","45"
"Volna","+7 775 007 0795","https://www.volna.kz/","Пивной магазин","45"
"Arlan","+7 707 400 4170","","Магазин","45"
"Морской Урожай","+7 702 233 6927","","Оптовая продажа морепродуктов","45"
"ARMTEK","+7 771 752 7600","https://armtek.kz/","Магазин автозапчастей","45"
"Phaeton DC","+7 727 356 0560","http://www.phaeton.kz/","Магазин автозапчастей","45"
"Magnum Express","+7 727 339 7340","https://magnum.kz/","Супермаркет","45"
"Virgin Beauty","+7 727 333 7772","https://virgin-nail.kz/","Фирменный магазин","45"
"BELARUSKI","+7 707 210 6421","","Продовольственный магазин","45"
"FLOWER AVENUE - здесь живут цветы","+7 700 800 9192","https://flower.kz/","Цветочный рынок","45"
"Магазин зоотоваров ""ZOOMARKET""","+7 7272 93 53 87","http://zoomarket.kz/","Зоомагазин","45"
"Магазин Хозяюшка","+7 701 707 5320","","Магазин товаров для дома","45"
"Магазин спорттоваров ABKSPORT","+7 702 101 0521","http://www.netsport.kz/","Магазин спорттоваров","45"
"Магазин «Арсенал Кондитера»","+7 708 170 9007","http://www.arsenal-konditera.kz/","Товары для оформления тортов","45"
"Магазин Ракса Бар","+7 707 027 9098","","Магазин","45"
"Alcomarket","+7 7272 79 56 91","","Магазин спиртных напитков","45"
"Аптечный Склад","+7 7272 33 56 83","","Аптека","45"
"ТОО ""Рукоделие""","+7 727 333 1818","http://www.rukodelie.kz/","Магазин пряжи","45"
"Азбука рыбного вкуса","+7 7272 93 09 27","","Рыбный магазин","45"
"Руторг","+7 705 555 8449","https://rutorg.kz/","Оптовая продажа тканей","45"
"SeeOzone.kz-представители kraftool, зубр, auroraPro overman (оверман), holzmann","+7 700 173 3696","https://seeozone.kz/","Оптовая продажа инструмента","45"
"Назик","+7 727 392 3297","http://nazik.kz/","Магазин тортов","45"
"Магазин музыкальных инструментов ""YMusic - MUZTORG""","+7 777 829 2020","https://ymusic.kz/","Магазин музыкальных инструментов","45"
"Книги ЭРУДИТ","+7 701 918 8388","","Книжный магазин","45"
"Салон китайской косметики ""Мей Ли""","+7 7272 74 20 22","http://www.meili.kz/","Магазин товаров для салонов красоты","45"
"Арт Букет - доставка цветов","+7 777 047 5555","https://almaty.art-buket.kz/","Цветочный магазин","45"
"«Pro-Buket»","+7 778 746 0036","https://pro-buket.kz/","Доставка цветов","45"
"Nickol","+7 701 534 6041","https://www.nickol.kz/","Магазин товаров для салонов красоты","45"
"ТПК Ожет","+7 771 800 8007","","Агентство по аренде торговых площадей","45"
"Aspan Profile Technologies","+7 7272 46 36 13","http://aspan-pro.kz/","Торговый центр","45"
