Компания,Телефон,Сайт,Категория,Город,Страна,Score,Статус,Источник,Дата
"""Кенжехан"" 13-14ряд/2контейнер","+7 702 258 1208","","Рынок","Алматы",KZ,75,new,google_maps_apify,2026-08-16
"КОЛГОТКИ LAND","+7 747 279 2979","","Оптовая торговля","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Оптомаркет ""Кокжиек""","","","Магазин","Алматы",KZ,45,new,google_maps_apify,2026-08-16
"Детская Одежда Оптом ErkemaiShop","+7 747 272 0662","","Оптовый продавец одежды","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Optom Kenjehan","+7 708 805 0451","","Магазин одежды","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"TOIMART","+7 800 070-01-42","https://www.toimart.kz/","Супермаркет","Алматы",KZ,30,new,google_maps_apify,2026-08-16
"EG Clothing","+7 701 734 9712","http://www.instagram.com/egofficial_optom/","Оптовый продавец одежды","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Посуда Кенжехан-2, Ряд-15, Контейнер41","","","Рынок","Алматы",KZ,45,new,google_maps_apify,2026-08-16
"Оптом домашний текстиль","+7 771 410 0204","http://optom-textile.tilda.ws/","Оптовая торговля","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Детская одежда оптом Алматы Cool kids","+7 700 296 9205","https://www.instagram.com/coolkids_odejda_optom_","Магазин детской одежды","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Passo Chantal (Madame Chantal CHMD)","+7 701 743 3125","https://www.madame-chantal.kz/","Магазин одежды","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"детская одежда оптом SAKURA KIDS","+7 776 284 7343","https://instagram.com/optom.sakura.kids?igshid=NTdlMDg3MTY=","Магазин детской одежды","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Оптово-Розничный Павильон №4 Продовольственная компания ""Изобилие""","+7 778 922 2929","","Продовольственный магазин","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"ТОО АКЭТО","+7 707 095 0097","https://aketo.kz/","Оптовая торговля","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"SMALL","+7 800 070-71-70","https://small.kz/ru/almaty","Супермаркет","Алматы",KZ,75,new,google_maps_apify,2026-08-16
"BAURAMIX market","+7 775 107 7707","https://bauramix.kz/","Оптовая продажа строительных материалов","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Ярмарка ""Турксиб""","+7 701 722 9495","https://instagram.com/turksib_yarmarka_almaty","Рынок","Алматы",KZ,90,new,google_maps_apify,2026-08-16
"Оптомаркет Мирас.","","","Продовольственный магазин","Алматы",KZ,45,new,google_maps_apify,2026-08-16
"Продукты","","","Продовольственный магазин","Алматы",KZ,45,new,google_maps_apify,2026-08-16
"Морепродукты в Алматы / Ice Fish","+7 771 400 4222","https://icefish.kz/","Рыбный магазин","Алматы",KZ,30,new,google_maps_apify,2026-08-16
"Оптовый склад Auterra - запчасти по вин коду.","+7 747 377 7003","","Магазин автозапчастей","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Минимаркет","+7 705 761 8170","","Оптовый магазин продуктов питания","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Arlan","+7 707 400 4170","","Магазин","Алматы",KZ,45,new,google_maps_apify,2026-08-16
"Рынок ""Тастак"" 12 Бутик Электротовары","+7 708 671 9050","","Рынок","Алматы",KZ,90,new,google_maps_apify,2026-08-16
"A-Store","+7 727 330 9777","http://a-store.kz/","Гипермаркет","Алматы",KZ,75,new,google_maps_apify,2026-08-16
"Samala","","","Оптовый магазин продуктов питания","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Таза-Line","+7 702 011 1149","","Магазин товаров для дома","Алматы",KZ,30,new,google_maps_apify,2026-08-16
"Volna","+7 775 007 0795","https://www.volna.kz/","Пивной магазин","Алматы",KZ,45,new,google_maps_apify,2026-08-16
"Белорусские продукты","","","Продовольственный магазин","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Белорусские продукты № 1","+7 705 739 8000","https://belostan.kz/","Колбасные изделия","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Мир Игрушек","+7 707 380 2060","http://www.mirigrushek.kz/","Магазин игрушек","Алматы",KZ,30,new,google_maps_apify,2026-08-16
"Индийский Трикотаж","+7 707 221 3299","","Магазин","Алматы",KZ,30,new,google_maps_apify,2026-08-16
"Магазин подарков Red Box","+7 701 728 8333","http://red-box.kz/","Магазин подарков","Алматы",KZ,45,new,google_maps_apify,2026-08-16
"Носки трусы оптом","+7 702 702 7771","https://instagram.com/asd_noski_kz?utm_medium=copy_link","Магазин","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Магазин ""Ароматный Мир""","+7 706 663 1438","http://aromatniymir.kz/","Магазин спиртных напитков","Алматы",KZ,60,new,google_maps_apify,2026-08-16
"Оптовый склад спецодежды в Алматы","+7 707 834 7840","http://specodezhda-v-almaty.kz/","Склад","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"AVINA оптовый склад","+7 778 200 0380","","Склад","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"ПРОДУКТЫ ПИТАНИЯ В АЛМАТЫ","+7 7272 47 78 60","https://bonfood.kz/","Оптовая торговля","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Оптовый Склад Сантехники","+7 747 399 2629","","Магазин сантехники","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Игрушки Оптом в Алматы","+7 707 224 8222","http://toytoystore.kz/","Магазин игрушек","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Оптовый Магазин ВЕТОШЬИ, БЯЗИ, ВАФЕЛЬНОЕ ТКАНЬ , МАРЛЯ, ВЕНИК - НУР-АЙ ТРЭЙД НДС ЭСФ","+7 700 088 8887","http://nuraytreyd.kz/","Хозяйственный магазин","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Оптом Хозтовары, подгузники и многое другое","+7 747 618 5717","","Оптовая торговля","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Алматинский Торговый Склад","+7 727 382 9475","","Магазин холодильников","Алматы",KZ,30,new,google_maps_apify,2026-08-16
"Обувь оптом","+7 702 488 7210","","Оптовая торговля","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"ТОО Дэльма","+7 705 664 4446","https://delma.all.biz/?utm_source=google&utm_medium=gmb&utm_term=gmb","Оптовая торговля","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Snab Day, ""ТОО"" БЫТОВАЯ ХИМИЯ С ДОСТАВКОЙ АЛМАТЫ ПО НИЗКИМ ЦЕНАМ ОПТОМ И В РОЗНИЦУ!","+7 701 926 6626","https://snabday.kz/","Поставщик бытовой химии","Алматы",KZ,30,new,google_maps_apify,2026-08-16
"Торговая компания «AISULU»Сеть магазинов оборудования и косметики для салонов красоты","+7 7272 25 59 76","http://aisulu.kz/","Магазин товаров для парикмахерских","Алматы",KZ,45,new,google_maps_apify,2026-08-16
"Оптовый Магазин Носков","+7 702 667 7067","","Оптовый продавец одежды","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"АРИЯ Рынок Ужет 8 Ряд 81А","+7 705 223 5596","","Магазин одежды","Алматы",KZ,30,new,google_maps_apify,2026-08-16
"улица Розыбакиева 25, Алматы","","","Рынок","Алматы",KZ,30,new,google_maps_apify,2026-08-16
"Анель","+7 727 376 5723","","Поставщик продуктов питания","Алматы",KZ,30,new,google_maps_apify,2026-08-16
"УЮТ - Мебель и товары для дома ИКЕА","+7 777 355 7055","https://kaspi.kz/shop/search/?text=ikea&q=%3AavailableInZones%3AMagnum_ZONE1%3Acategory%3ACategories%3AallMerchants%3AWmart&sort=relevance&filteredByCategory=false&sc=","Магазин товаров для дома","Алматы",KZ,60,new,google_maps_apify,2026-08-16
"UTI-PUTI","+7 707 584 9803","https://uti-puti.kz/","Магазин детской одежды","Алматы",KZ,45,new,google_maps_apify,2026-08-16
"Алкомаркет","","","Оптовая продажа алкогольных напитков","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"AND Asia краски оптом Казахстан для бизнеса и дилеров","+7 727 347 5555","https://an-d.asia/","Оптовая торговля","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Группа интернет-магазинов GiX","+7 777 022 3445","","Офис компании","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Kilem Saray","+7 708 972 9494","","Магазин ковров","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"3astyle","+7 775 007 8994","https://3astyle.kz/","Швейный цех","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Гаухар","+7 7272 99 12 23","","Продовольственный магазин","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"ТО Домино","+7 701 710 7134","","Ёлочный питомник","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Planta Fruit","+7 701 203 3680","https://plantafruit.kz/","Оптовая продажа саженцев","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"LIQUI MOLY Eurasia 1","+7 701 528 2320","http://www.liquimoly.kz/","Замена масла","Алматы",KZ,60,new,google_maps_apify,2026-08-16
"Белорусские продукты № 1","+7 705 739 8000","https://belostan.kz/","Колбасные изделия","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Живой уголок","+7 747 555 0002","","Зоомагазин","Алматы",KZ,60,new,google_maps_apify,2026-08-16
"Назик","+7 727 311 4337","http://nazik.kz/","Фирменный магазин","Алматы",KZ,30,new,google_maps_apify,2026-08-16
"Оптовая продажа нижнего белья","+7 707 184 6367","","Магазин нижнего белья","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Оптом Текстиль","+7 702 591 3720","http://instagram.com/optom_turkmen_postel","Экспортёр текстиля","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Посуда в Алматы","+7 778 665 0672","https://posuda10.kz/","Магазин посуды из стекла","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"""Lux Fero"" Оптовый Сервис","","","Оптовый рынок","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Магазин женских вещей UZDEN","+7 707 321 3203","https://instagram.com/uzden_almaty1?utm_medium=copy_link","Оптовый продавец одежды","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Zhuldyz Flowers","+7 702 630 8222","","Оптовая продажа цветов","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Алкомаркет №1 в Алматы — Elitalco — Доставка алкоголя","+7 778 322 7755","https://newelitalco.kz/","Оптовая продажа алкогольных напитков","Алматы",KZ,30,new,google_maps_apify,2026-08-16
"ИП Nurcompany","+7 707 799 9167","","Оптовый магазин продуктов питания","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Морепродукты Алматы / Seafoodgroup","+7 701 617 7879","https://seafoodgroup.kz/","Рыбный магазин","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Realshoes - Обувь оптом в Алматы","+7 702 465 5558","","Оптовая торговля","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Барахолка","+7 777 211 5565","","Рынок","Алматы",KZ,90,new,google_maps_apify,2026-08-16
"Женская одежда оптом","+7 727 350 6016","","Магазин женской одежды","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"ОПТОВЫЙЕ МАГАЗИН ВЕТОШИ. Фирма ASITEX. СНДС. ом","+7 702 553 1169","","Хозяйственный магазин","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"ТОО ""Оптовый Двор"" Межкомнатные двери в Алматы лучшего качество","+7 727 972 3254","http://optdvor.kz/almaty","Магазин дверей","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Магазин-склад ""Мураш-Ата""","+7 747 535 3530","https://murash.kz/","Строительный магазин","Алматы",KZ,30,new,google_maps_apify,2026-08-16
"Оптовая продажа сотовых аксессуаров","","https://t.me/BaisatM1718","Магазин аксессуаров для мобильных телефонов","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Рынок Барыс","","","Магазин одежды","Алматы",KZ,60,new,google_maps_apify,2026-08-16
"Kazat Safety - Оптовый склад спецодежды и сиз.","+7 701 404 2834","http://www.gat.kz/","Магазин спецодежды","Алматы",KZ,30,new,google_maps_apify,2026-08-16
"ТОО «Тукор»","+7 700 190 0999","http://tukor.info/","Оптовая торговля","Алматы",KZ,30,new,google_maps_apify,2026-08-16
"Медицинские товары ТОО ""HEALTHTON""","+7 702 007 6055","https://healthton.kz/","Оптовая торговля","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"SvetAlmaty.kz","+7 707 829 2555","https://svetalmaty.kz/","Магазин осветительных приборов","Алматы",KZ,30,new,google_maps_apify,2026-08-16
"Volna","+7 775 007 0795","https://www.volna.kz/","Пивной магазин","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Genau","+7 708 372 7924","https://genau.kz/","Оптовая продажа оборудования для фитнеса","Алматы",KZ,30,new,google_maps_apify,2026-08-16
"Сотовые аксессуары","+7 777 385 3333","","Магазин товаров для дома","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"МейТан","+7 701 603 7163","https://meitan.ru/","Магазин косметики и парфюмерии","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Magnum Express","+7 727 339 7340","https://magnum.kz/","Супермаркет","Алматы",KZ,45,new,google_maps_apify,2026-08-16
"Магазин автозапчастей LETO","+7 700 426 2528","http://www.leto.kz/","Магазин автозапчастей","Алматы",KZ,45,new,google_maps_apify,2026-08-16
"Marvel Kazakhstan","+7 7272 20 63 00","https://www.marvel.kz/","Компьютерный магазин","Алматы",KZ,30,new,google_maps_apify,2026-08-16
"Меховой Дом Valentina by EL","+7 701 555 5430","","Магазин шуб","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Южный питомник Ботсада","","http://botsad.kz/","Питомник растений","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Квантэл Электро","+7 777 022 0408","https://kvantelelectro.satu.kz/","Магазин электротоваров","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Pirogon","+7 702 673 8430","https://pirogon.kz/","Пекарня","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Volna","+7 775 007 0795","https://www.volna.kz/","Пивной магазин","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"UTI-PUTI","+7 707 784 9899","https://uti-puti.kz/","Магазин детской одежды","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Redmart","+7 700 471 0071","","Магазин бытовой техники","Алматы",KZ,30,new,google_maps_apify,2026-08-16
"Gerat Kazakhstan","+7 707 129 3848","https://gerat.kz/","Магазин автозапчастей","Алматы",KZ,30,new,google_maps_apify,2026-08-16
"LISAP MILANO","+7 705 888 6675","http://www.lisapkazakhstan.kz/","Оптовая продажа косметики","Алматы",KZ,30,new,google_maps_apify,2026-08-16
"Cosmeta-Asia","+7 727 360 4000","http://www.cosmeta.kz/","Магазин косметики и парфюмерии","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"PROFCARE","+7 777 490 4747","https://www.profcare.kz/","Оптовая продажа косметики","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"AnShah","+7 747 415 5080","https://11020-kz.all.biz/","Магазин товаров для дома","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"ОПТОМ СУМКИ КЗ","+7 700 288 7273","","Оптовый рынок","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Volna","+7 775 007 0795","https://www.volna.kz/","Пивной магазин","Алматы",KZ,45,new,google_maps_apify,2026-08-16
"Рынок Алатау-1","+7 708 949 5665","http://alataumarket.kz/","Рынок","Алматы",KZ,90,new,google_maps_apify,2026-08-16
"KDM","+7 771 704 5578","https://kdm.kz/","Поставщик крепежа","Алматы",KZ,30,new,google_maps_apify,2026-08-16
"Компания ORION","+7 708 983 5358","http://orionholod.kz/","Оптовая продажа бытовой техники","Алматы",KZ,30,new,google_maps_apify,2026-08-16
"ИП Оптовый магазин оборудований","+7 702 345 6877","https://opttech.kz/contacts","Поставщик оборудования","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Almatyabrasiv TM Gerad","+7 777 774 1888","http://almatyabrasiv.kz/","Поставщик абразивов","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"A-MARKA (А-МАРКА)","+7 702 762 0915","http://www.amarka.kz/","Магазин необработанной мебели","Алматы",KZ,45,new,google_maps_apify,2026-08-16
"ЭКСКЛЮЗИВНЫЙ ОПТОВЫЙ ПОСТАВЩИК TOTACHI В КАЗАХСТАНЕ","+7 702 116 8140","","Магазин автозапчастей","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Optoshka Almata","+7 708 350 1919","https://instagram.com/optoshka_almata?utm_medium=copy_link","Оптовый продавец одежды","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Miavitta","+7 701 493 8221","","Оптовый магазин продуктов питания","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Beri-Optom - оптовый интернет-магазин китайских товаров в Алматы","+7 777 394 3259","","Оптовая торговля","Алматы",KZ,30,new,google_maps_apify,2026-08-16
"Грузовые шины Sunfull Оптовый и розничный Склад шин","+7 775 955 8837","","Магазин шин","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Green Garden","+7 702 338 8837","https://greengarden-almata.kz/","Магазин товаров для дачи и сада","Алматы",KZ,45,new,google_maps_apify,2026-08-16
"Спортивные товары Алматы-Bekzatsports","+7 707 128 0584","","Оптовая продажа спортивных аксессуаров","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Магазин на колёсах","+7 777 356 3020","","Оптовая продажа женского белья","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Торговый Центр","+7 701 487 7802","","Торговый центр","Алматы",KZ,75,new,google_maps_apify,2026-08-16
"Магазин посуды Jayli.Q","+7 747 666 0163","http://jayli.q.tilda.ws/#%D0%BC%D0%B0%D0%B3%D0%B0%D0%B7%D0%B8%D0%BD_%D0%BF%D0%BE%D1%81%D1%83%D0%B4%D1%8B","Магазин товаров для ресторанов","Алматы",KZ,30,new,google_maps_apify,2026-08-16
"Магазин бобер, MASIMA , бытовая техника SOKANY оптом","+7 707 400 3899","","Магазин бытовой техники","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Компания STAR PARTY - Поставщик шаров в Казахстане","+7 705 181 5707","https://new.starparty.kz/","Магазин воздушных шаров","Алматы",KZ,30,new,google_maps_apify,2026-08-16
"dorco Бритвенные станки и системы DORCO в Казахстане","+7 776 215 8888","","Оптовая торговля","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Габионы и геоматериалы от ТОО GeOMasters Team","+7 701 958 0047","http://geomasters.kz/","Оптовая продажа строительных материалов","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"TheМиска","+7 701 059 9792","http://miska.kz/","Зоомагазин","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Electrotech","","https://electrotech.kz/","Магазин электротоваров","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Fixtech","+7 707 354 7500","https://ergocom.kz/","Оптовая торговля","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Trust Technologies Спецодежда СИЗ","+7 771 705 5115","https://trust-tech.kz/","Поставщик спецодежды и средств защиты","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Гарант-ТТ","+7 7272 27 50 16","http://kuhni.com.kz/","Оптовая продажа мебели","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Ветеринарная аптека, склад ТОО Акжол ЛТД","+7 777 367 4000","","Ветеринарная аптека","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Академия Tinel","+7 776 039 8888","","Учебный центр","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Kazakh Vending Company","+7 701 766 9997","http://www.kvc.kz/","Кофейный автомат","Алматы",KZ,30,new,google_maps_apify,2026-08-16
"KazServiceProject","+7 707 821 5008","http://www.serviceproject.kz/","Оптовая продажа компьютерной техники","Алматы",KZ,15,new,google_maps_apify,2026-08-16
