company,phone,website,address,category,rating,reviews,score,source,status
Оптовый склад Auterra - запчасти по вин коду.,+7 747 377 7003,,"Алматы, Алатауский район, Казмис 1/3, улица Тобылгысай 6, Алматы 055551, Казахстан",Магазин автозапчастей,5,16,15,google_maps_apify,new
Минимаркет,+7 705 761 8170,,"Микрорайон 3-й, 7А, Алматы 050062, Казахстан",Оптовый магазин продуктов питания,5,1,15,google_maps_apify,new
Arlan,+7 707 400 4170,,"пр-т. Райымбека 455a, Алматы 050061, Казахстан",Магазин,4.6,325,45,google_maps_apify,new
"Рынок ""Тастак"" 12 Бутик Электротовары",+7 708 671 9050,,"улица Толе Би 270, Алматы, Казахстан",Рынок,4.2,6789,90,google_maps_apify,new
A-Store,+7 727 330 9777,http://a-store.kz/,"ул. Сатпаева 90В, Алматы 050000, Казахстан",Гипермаркет,4.4,4056,75,google_maps_apify,new
Samala,,,"Нұркент 5/33б, Алматы 050038, Казахстан",Оптовый магазин продуктов питания,,0,15,google_maps_apify,new
Таза-Line,+7 702 011 1149,,"п87, улица Сулейменова 25, Алматы 050042, Казахстан",Магазин товаров для дома,4.6,91,30,google_maps_apify,new
Volna,+7 775 007 0795,https://www.volna.kz/,"микрорайон Мамыр-1 2, Алматы 040212, Казахстан",Пивной магазин,4.7,313,45,google_maps_apify,new
Белорусские продукты,,,"дом 28, Алматы, Казахстан",Продовольственный магазин,4.8,9,15,google_maps_apify,new
Белорусские продукты № 1,+7 705 739 8000,https://belostan.kz/,"жк Мирный, улица Сулейменова 17, Алматы 050043, Казахстан",Колбасные изделия,,0,15,google_maps_apify,new
Мир Игрушек,+7 707 380 2060,http://www.mirigrushek.kz/,"улица Навои, Алматы, Казахстан",Магазин игрушек,4.2,68,30,google_maps_apify,new
Индийский Трикотаж,+7 707 221 3299,,"микрорайон Мамыр-1 2, д. 3, Алматы, Казахстан",Магазин,4.1,23,30,google_maps_apify,new
Магазин подарков Red Box,+7 701 728 8333,http://red-box.kz/,"ул. Шмелева 78, Алматы 050000, Казахстан",Магазин подарков,4.9,240,45,google_maps_apify,new
Носки трусы оптом,+7 702 702 7771,https://instagram.com/asd_noski_kz?utm_medium=copy_link,"Бекболата 1B, рынок Ожет, ряд 8, контеинер 142, Алматы 050024, Казахстан",Магазин,4,2,15,google_maps_apify,new
"Магазин ""Ароматный Мир""",+7 706 663 1438,http://aromatniymir.kz/,"улица Гоголя 192, Алматы 050000, Казахстан",Магазин спиртных напитков,4.7,725,60,google_maps_apify,new
Оптовый склад спецодежды в Алматы,+7 707 834 7840,http://specodezhda-v-almaty.kz/,"Ул.ташкентский 225, Алматы 050016, Казахстан",Склад,5,6,15,google_maps_apify,new
AVINA оптовый склад,+7 778 200 0380,,"Весновка 12, Алматы, Казахстан",Склад,5,5,15,google_maps_apify,new
ПРОДУКТЫ ПИТАНИЯ В АЛМАТЫ,+7 7272 47 78 60,https://bonfood.kz/,"ул. имени Куприна, Алматы 050000, Казахстан",Оптовая торговля,4.3,7,15,google_maps_apify,new
Оптовый Склад Сантехники,+7 747 399 2629,,"Москвина 7, ТЦ Адем, G1-31, Алматы 050024, Казахстан",Магазин сантехники,5,4,15,google_maps_apify,new
Игрушки Оптом в Алматы,+7 707 224 8222,http://toytoystore.kz/,"город, пр-т. Райымбека 232, Алматы 050000, Казахстан",Магазин игрушек,5,3,15,google_maps_apify,new
"Оптовый Магазин ВЕТОШЬИ, БЯЗИ, ВАФЕЛЬНОЕ ТКАНЬ , МАРЛЯ, ВЕНИК - НУР-АЙ ТРЭЙД НДС ЭСФ",+7 700 088 8887,http://nuraytreyd.kz/,"Шоссейная 74а, Алматы 050058, Казахстан",Хозяйственный магазин,5,12,15,google_maps_apify,new
"Оптом Хозтовары, подгузники и многое другое",+7 747 618 5717,,"Отеген Батыр 92А, Алматы 050062, Казахстан",Оптовая торговля,,0,15,google_maps_apify,new
Алматинский Торговый Склад,+7 727 382 9475,,"улица Ангарская 87, Алматы, Казахстан",Магазин холодильников,3.8,69,30,google_maps_apify,new
Обувь оптом,+7 702 488 7210,,"Рынок ожет, Бекболата улица 1, Алматы 050008, Казахстан",Оптовая торговля,5,4,15,google_maps_apify,new
ТОО Дэльма,+7 705 664 4446,https://delma.all.biz/?utm_source=google&utm_medium=gmb&utm_term=gmb,"пр-т. Райымбека д. 212, Алматы 050000, Казахстан",Оптовая торговля,1,2,15,google_maps_apify,new
"Snab Day, ""ТОО"" БЫТОВАЯ ХИМИЯ С ДОСТАВКОЙ АЛМАТЫ ПО НИЗКИМ ЦЕНАМ ОПТОМ И В РОЗНИЦУ!",+7 701 926 6626,https://snabday.kz/,"ул. Сыздыкова 53, Алматы 050038, Казахстан",Поставщик бытовой химии,4.6,25,30,google_maps_apify,new
Торговая компания «AISULU»Сеть магазинов оборудования и косметики для салонов красоты,+7 7272 25 59 76,http://aisulu.kz/,"ул. Тимирязева 59, Алматы 050012, Казахстан",Магазин товаров для парикмахерских,4.4,149,45,google_maps_apify,new
Оптовый Магазин Носков,+7 702 667 7067,,"Шоссе северное кольцо,76/3 ТК Мизам 1, ряд 6, Бутик 13, Алматы 050024, Казахстан",Оптовый продавец одежды,,0,15,google_maps_apify,new
АРИЯ Рынок Ужет 8 Ряд 81А,+7 705 223 5596,,"8V5V+7GC, Алматы, Казахстан",Магазин одежды,4.7,47,30,google_maps_apify,new
"улица Розыбакиева 25, Алматы",,,"улица Розыбакиева 25, Алматы, Казахстан",Рынок,4.3,57,30,google_maps_apify,new
Анель,+7 727 376 5723,,"6V7R+923, улица Байкадамова, Алматы 050060, Казахстан",Поставщик продуктов питания,4.2,28,30,google_maps_apify,new
УЮТ - Мебель и товары для дома ИКЕА,+7 777 355 7055,https://kaspi.kz/shop/search/?text=ikea&q=%3AavailableInZones%3AMagnum_ZONE1%3Acategory%3ACategories%3AallMerchants%3AWmart&sort=relevance&filteredByCategory=false&sc=,"улица Розыбакиева 281, Алматы 050060, Казахстан",Магазин товаров для дома,4.5,786,60,google_maps_apify,new
UTI-PUTI,+7 707 584 9803,https://uti-puti.kz/,"улица Навои 6, Алматы 050043, Казахстан",Магазин детской одежды,4.4,226,45,google_maps_apify,new
Алкомаркет,,,"улица Розыбакиева 273-279, Алматы 050060, Казахстан",Оптовая продажа алкогольных напитков,3.8,13,15,google_maps_apify,new
AND Asia краски оптом Казахстан для бизнеса и дилеров,+7 727 347 5555,https://an-d.asia/,"ул. Рымжанова 35, Алматы, Казахстан",Оптовая торговля,,0,15,google_maps_apify,new
Группа интернет-магазинов GiX,+7 777 022 3445,,"Даулеткерея 57, Алматы, Казахстан",Офис компании,4.5,13,15,google_maps_apify,new
Kilem Saray,+7 708 972 9494,,"Мамыр 1-й мкрорайон, 21/2, Алматы 050036, Казахстан",Магазин ковров,4.4,14,15,google_maps_apify,new
3astyle,+7 775 007 8994,https://3astyle.kz/,"улица Карпинского 16/1, Алматы, Казахстан",Швейный цех,,0,15,google_maps_apify,new
Гаухар,+7 7272 99 12 23,,"ул. Исиналиева 21, Алматы, Казахстан",Продовольственный магазин,4.6,17,15,google_maps_apify,new
ТО Домино,+7 701 710 7134,,"Микрорайон Таужолы, садоводческое товарищество Аксай, вишневая 158, Алматы 050010, Казахстан",Ёлочный питомник,5,1,15,google_maps_apify,new
Planta Fruit,+7 701 203 3680,https://plantafruit.kz/,"улица Ходжанова 81, Алматы 050060, Казахстан",Оптовая продажа саженцев,3.5,2,15,google_maps_apify,new
LIQUI MOLY Eurasia 1,+7 701 528 2320,http://www.liquimoly.kz/,"улица Жарокова 322A, Алматы 050042, Казахстан",Замена масла,4.7,687,60,google_maps_apify,new
Белорусские продукты № 1,+7 705 739 8000,https://belostan.kz/,"Алматы микрорайон Орбита-3 5/3, Алматы 050043, Казахстан",Колбасные изделия,,0,15,google_maps_apify,new
Живой уголок,+7 747 555 0002,,"улица Сулейменова 24а, Алматы 050042, Казахстан",Зоомагазин,4.6,787,60,google_maps_apify,new
Назик,+7 727 311 4337,http://nazik.kz/,"улица Ходжанова 76, Алматы 050060, Казахстан",Фирменный магазин,4.4,22,30,google_maps_apify,new
Оптовая продажа нижнего белья,+7 707 184 6367,,"Бекболата 1В рынок Ожет сектор В, ряд 7, контеинер 141, Алматы 050024, Казахстан",Магазин нижнего белья,5,13,15,google_maps_apify,new
Оптом Текстиль,+7 702 591 3720,http://instagram.com/optom_turkmen_postel,"ул. Северное Кольцо, 78/1, рынок Мизам, Сектор А, 4 ряд, бутик 19-20, Алматы 050024, Казахстан",Экспортёр текстиля,5,5,15,google_maps_apify,new
Посуда в Алматы,+7 778 665 0672,https://posuda10.kz/,"Северное кольцо шоссе 7е, Байсат 10 Склад, Алматы 050058, Казахстан",Магазин посуды из стекла,5,6,15,google_maps_apify,new
"""Lux Fero"" Оптовый Сервис",,,"Северное Кольцо 9а, Алматы 050038, Казахстан",Оптовый рынок,5,1,15,google_maps_apify,new
Магазин женских вещей UZDEN,+7 707 321 3203,https://instagram.com/uzden_almaty1?utm_medium=copy_link,"Бекболата 1B, рынок Ожет, ряд 8, контеинер 91, Алматы 050024, Казахстан",Оптовый продавец одежды,,0,15,google_maps_apify,new
Zhuldyz Flowers,+7 702 630 8222,,"улица Толе Би 228, Алматы, Казахстан",Оптовая продажа цветов,3,2,15,google_maps_apify,new
Алкомаркет №1 в Алматы — Elitalco — Доставка алкоголя,+7 778 322 7755,https://newelitalco.kz/,"ул. Шарипова 38, Алматы 050000, Казахстан",Оптовая продажа алкогольных напитков,4.3,70,30,google_maps_apify,new
ИП Nurcompany,+7 707 799 9167,,"ангар, аймбека 212 ""В"" уг. Розыбакиева, рынок Барыс-4, склад-2 перед въездом в, Райымбека 212в, Алматы, Казахстан",Оптовый магазин продуктов питания,,0,15,google_maps_apify,new
Морепродукты Алматы / Seafoodgroup,+7 701 617 7879,https://seafoodgroup.kz/,"улица Ауэзова 84, Алматы 050030, Казахстан",Рыбный магазин,4,14,15,google_maps_apify,new
Realshoes - Обувь оптом в Алматы,+7 702 465 5558,,"Рынок ожет, Бекболата улица 1, Алматы 050015, Казахстан",Оптовая торговля,5,1,15,google_maps_apify,new
Барахолка,+7 777 211 5565,,"7VPQ+PVJ, Алматы, Казахстан",Рынок,4.1,9017,90,google_maps_apify,new
Женская одежда оптом,+7 727 350 6016,,"ул. Тимирязева 42, Алматы 050060, Казахстан",Магазин женской одежды,,0,15,google_maps_apify,new
ОПТОВЫЙЕ МАГАЗИН ВЕТОШИ. Фирма ASITEX. СНДС. ом,+7 702 553 1169,,"Шоссеиная 72 Рынок Азия бутик 13, Алматы 050058, Казахстан",Хозяйственный магазин,3,2,15,google_maps_apify,new
"ТОО ""Оптовый Двор"" Межкомнатные двери в Алматы лучшего качество",+7 727 972 3254,http://optdvor.kz/almaty,"рынок, Саламат, улица Розыбакиева 90, Алматы 050000, Казахстан",Магазин дверей,4.4,7,15,google_maps_apify,new
"Магазин-склад ""Мураш-Ата""",+7 747 535 3530,https://murash.kz/,"улица Прокофьева 125А, Алматы 050005, Казахстан",Строительный магазин,5,49,30,google_maps_apify,new
Оптовая продажа сотовых аксессуаров,,https://t.me/BaisatM1718,"7VMQ+7R2, Алматы, Казахстан",Магазин аксессуаров для мобильных телефонов,5,1,15,google_maps_apify,new
Рынок Барыс,,,"7VXW+CCM, Алматы, Казахстан",Магазин одежды,4.1,751,60,google_maps_apify,new
Kazat Safety - Оптовый склад спецодежды и сиз.,+7 701 404 2834,http://www.gat.kz/,"пр-т. Райымбека 223d, Алматы 050000, Казахстан",Магазин спецодежды,4.9,32,30,google_maps_apify,new
ТОО «Тукор»,+7 700 190 0999,http://tukor.info/,"улица Казыбаева 3, Алматы 050050, Казахстан",Оптовая торговля,5,33,30,google_maps_apify,new
"Медицинские товары ТОО ""HEALTHTON""",+7 702 007 6055,https://healthton.kz/,"улица Толе Би 302, Алматы 050031, Казахстан",Оптовая торговля,,0,15,google_maps_apify,new
SvetAlmaty.kz,+7 707 829 2555,https://svetalmaty.kz/,"ЖК Nest Grand, Помещение 206 (На против охраны спуститься по лестницу в низ, Google плохая карта, для поиска используйте 2Gis, Микрорайон Астана 1/18 к7, Алматы 050036, Казахстан",Магазин осветительных приборов,4.3,27,30,google_maps_apify,new
Volna,+7 775 007 0795,https://www.volna.kz/,"Алматы микрорайон Орбита 2 17Г, Алматы 050043, Казахстан",Пивной магазин,,0,15,google_maps_apify,new
Genau,+7 708 372 7924,https://genau.kz/,"проспект Серкебаева 255, Алматы 050060, Казахстан",Оптовая продажа оборудования для фитнеса,4.7,62,30,google_maps_apify,new
Сотовые аксессуары,+7 777 385 3333,,"улица Мустафина 5, Алматы, Казахстан",Магазин товаров для дома,4.7,3,15,google_maps_apify,new
МейТан,+7 701 603 7163,https://meitan.ru/,"Сағадат Нұрмағамбетов, 101 Алматы Кок-Тобе, 050010, Казахстан",Магазин косметики и парфюмерии,5,9,15,google_maps_apify,new
Magnum Express,+7 727 339 7340,https://magnum.kz/,"Микрорайон Орбита-2, 2, Алматы 050043, Казахстан",Супермаркет,4.2,237,45,google_maps_apify,new
Магазин автозапчастей LETO,+7 700 426 2528,http://www.leto.kz/,"улица Серкебаева 111, Алматы 050000, Казахстан",Магазин автозапчастей,4.5,162,45,google_maps_apify,new
Marvel Kazakhstan,+7 7272 20 63 00,https://www.marvel.kz/,"улица Ходжанова 57/8, Алматы 050060, Казахстан",Компьютерный магазин,4.6,49,30,google_maps_apify,new
Меховой Дом Valentina by EL,+7 701 555 5430,,"проспект Aль-Фараби 140 а, Алматы 050044, Казахстан",Магазин шуб,5,2,15,google_maps_apify,new
Южный питомник Ботсада,,http://botsad.kz/,"6W88+7Q, Алматы, Казахстан",Питомник растений,5,2,15,google_maps_apify,new
Квантэл Электро,+7 777 022 0408,https://kvantelelectro.satu.kz/,"проспект Серкебаева 62, Алматы 050060, Казахстан",Магазин электротоваров,3.9,7,15,google_maps_apify,new
Pirogon,+7 702 673 8430,https://pirogon.kz/,"9 мкр 7А, Алматы 050000, Казахстан",Пекарня,5,10,15,google_maps_apify,new
Volna,+7 775 007 0795,https://www.volna.kz/,"Алматы микрорайон Казахфильм 21Г, Алматы 050065, Казахстан",Пивной магазин,,0,15,google_maps_apify,new
UTI-PUTI,+7 707 784 9899,https://uti-puti.kz/,"микрорайон Мамыр-1 8А, Алматы 050036, Казахстан",Магазин детской одежды,1,1,15,google_maps_apify,new
